Route,HTTPMethod,FunctionalTag
account,Post,Account
account/customer-details,Get,Account
account/exists,Get,Account
account/login,Post,Account
account/logout,Post,Account
account/reset-password,Post,Account
account/status,Get,Account
acmi/bookings,Get,Booking
acmi/update-bookings,Post,Booking
amend/alternative-flights,Get,PostBooking
amend/alternative-flights/validate,Post,PostBooking
amend/alternative-transfers/price,Post,PostBooking
amend/alternative-transfers/validate-price,Post,PostBooking
amend/amend-date/info,Get,PostBooking
amend/amend-dates/flights,Post,PostBooking
amend/amend-dates/summary,Get,PostBooking
amend/amend-dates/transfer,Post,PostBooking
amend/amend-dates/validate,Post,PostBooking
amend/amend-room-and-board/info,Get,PostBooking
amend/amend-room-and-board/validate,Post,PostBooking
amend/amend-ssr,Post,PostBooking
amend/commit,Post,PostBooking
amend/luggage,Post,PostBooking
amend/partial-refund/validate,Post,PostBooking
amend/pax-limit-validation,Post,PostBooking
amend/pax-name,Post,PostBooking
amend/seats,Post,PostBooking
availability/dates,Get,FlightInventory
availability/exists,Get,FlightInventory
availability/from,Get,FlightInventory
availability/last-available-date,Get,FlightInventory
availability/to,Get,FlightInventory
booking,Get,Booking
booking/{token},Get,Booking
booking/assign,Post,Booking
booking/cancel,Put,Booking
booking/change,Post,Booking
booking/commit,Post,Booking
booking/confirmation,Get,Booking
booking/credit,Post,Booking
booking/list,Get,Booking
booking/make-private,Post,Booking
booking/pay-remaining-balance,Post,Booking
booking/state,Get,Booking
booking/token,Post,Booking
booking/validate-package,Post,Booking
cache,Get,Shared
cache/clear,Get,Shared
callcentre/credit,Get,CustomerSupport
callcentre/credit,Put,CustomerSupport
callcentre/credit,Post,CustomerSupport
callcentre/credit-booking,Post,CustomerSupport
callcentre/partial-refund,Post,CustomerSupport
callcentre/spend,Post,CustomerSupport
cancellationandrefund/cancelandrefund,Post,PostBooking
contact-us,Post,CustomerSupport
content/countries,Get,Multiple
content/destination/{code},Get,Multiple
content/dialing-codes,Get,Multiple
content/filter-facilities,Get,Multiple
content/hotels/{code},Get,Multiple
content/maps-info,Get,Multiple
content/transfer-content,Get,Multiple
content/transfer-instructions,Get,Multiple
credit/history,Get,Credit
credit/me,Get,Credit
destinations,Get,Destination
destinations/{code}/image,Get,Destination
destinations/{name}/code,Get,Destination
destinations/countries,Get,Destination
destinations/map,Get,Destination
destinations/search,Get,Destination
destinations/search,Post,Destination
destinations/title,Post,Destination
errata/accom-errata,Get,HotelInventory
excursions,Get,Destination
help-centre/faq/save,Post,CustomerSupport
help-centre/feedback/save,Post,CustomerSupport
holiday-inspiration/recommended,Get,PackageSearch
holiday-inspiration/validate-answers,Get,PackageSearch
hotel/codes,Get,HotelInventory
hotel/featured-facilities,Get,HotelInventory
hotel/offer-details,Get,HotelInventory
hotel/offers,Get,HotelInventory
hotel/resort-info,Get,HotelInventory
hotel/reviews/{id},Get,HotelInventory
hotel/summary/location,Get,HotelInventory
hotel/summary/polygon,Post,HotelInventory
liveChat/CreateLiveChatMsg,Post,Customer
logging,Post,Shared
marketing/customer-preferences,Get,Customer
marketing/decrypt-email,Get,Customer
marketing/preferences,Get,Customer
marketing/unsubscribe,Post,Customer
marketing/verify,Post,Customer
mediacenter/search,Post,Customer
mediacenter/topics,Get,Customer
msg-tracker,Post,Customer
payment/3ds1,Post,Payment
payment/challenge,Post,Payment
payment/identify,Post,Payment
price,Get,Destination
price-promise,Post,Booking
referenceData/refresh,Get,Shared
requested-price,Get,Promotion
reviews,Get,CustomerSatisfaction
search/alternative-flights,Get,PackageSearch
search/extras,Post,PackageSearch
search/flight-extras,Post,PackageSearch
search/offers-alterations,Get,PackageSearch
search/packages,Get,PackageSearch
search/packages-meta,Get,PackageSearch
search/packages-summary,Get,PackageSearch
search/price-graph,Get,PackageSearch
search/price-graph/month,Get,PackageSearch
search/recommended,Get,PackageSearch
seats,Get,FlightInventory
shared-services/booking/credit/spend-credit,Put,Booking
shared-services/booking/refund/payments-available-for-refund,Post,Booking
shared-services/booking/refund/refund-non-credit-payments,Put,Booking
shared-services/booking/refund-eligibility/build-credit-breakdown,Post,Booking
shared-services/booking/repository/booking-memo,Get,Booking
shared-services/booking/repository/booking-unsafe,Get,Booking
shared-services/booking/repository/cancel-booking,Put,Booking
shared-services/booking/repository/modify-memo,Put,Booking
shared-services/booking/vouchers-paymentflow/add-payment-info,Put,Booking
shared-services/booking/vouchers-paymentflow/redeem,Put,Booking
shared-services/booking/vouchers-paymentflow/rollback,Put,Booking
shared-services/market/validate-currency,Get,Localization
shared-services/vouchers/customer-repository/get-or-create,Get,Credit
shared-services/vouchers/customer-repository/customer-by-email,Get,Credit
shared-services/vouchers/add-credit-to-booking,Post,Credit
shared-services/vouchers/add-refund-credit-to-booking,Post,Credit
shared-services/vouchers/create-and-publish-voucher,Post,Credit
shared-services/vouchers/is-reason-code-valid,Get,Credit
shared-services/vouchers/transfer-vouchers,Post,Credit
shortlist,Get,Customer
shortlist,Post,Customer
shortlist/delete,Post,Customer
shortlist/hotel,Post,Customer
shortlist/hotelStatus/{accomCode},Get,Customer
shortlist/status,Get,Customer
tracker/update-customer-communication-preferences,Post,Customer
tracker/update-customer-marketing-preferences,Post,Customer
trade-portal/account/login,Post,Account
trade-portal/account/logout,Post,Account
trade-portal/account/status,Get,Account
trade-portal/booking/search/advanced,Get,Booking
trade-portal/booking/search/simple,Get,Booking
trade-portal/feedback,Post,CustomerSatisfaction
trade-portal/group-booking,Post,Booking
voucher/redeem,Get,Credit
voucher/validate,Get,Credit
weather/region,Get,Destination
