"PagePath","ItemName","Language","PageUrl","IsPublishedLive","Components"
"/sitecore/content/EasyJet/Holidays/Presentation/Partial Designs/Full Header","Full Header","en","/presentation/partial-designs/full-header","True","Page Header_{48729675-DADF-419C-B929-CBE5DA3868AC}_header|Login To Shortlist Popup_{D79322F0-11A2-44A5-AC69-FE5A366664AF}_/header/login-popup-{48729675-DADF-419C-B929-CBE5DA3868AC}-0|IE Compatibility Banner_{4A37A41A-0EB6-4662-8AA2-F34C9237E0D0}_/header|Maintenance Shortlist Modal Dialog_{DD3B6823-5A39-4A6B-84AD-402F463B4942}_/header"
"/sitecore/content/EasyJet/Holidays/Presentation/Partial Designs/Full Header With Market Selector","Full Header With Market Selector","en","/presentation/partial-designs/full-header-with-market-selector","True","Page Header_{48729675-DADF-419C-B929-CBE5DA3868AC}_header|Login To Shortlist Popup_{D79322F0-11A2-44A5-AC69-FE5A366664AF}_/header/login-popup-{48729675-DADF-419C-B929-CBE5DA3868AC}-0|IE Compatibility Banner_{4A37A41A-0EB6-4662-8AA2-F34C9237E0D0}_/header|Maintenance Shortlist Modal Dialog_{DD3B6823-5A39-4A6B-84AD-402F463B4942}_/header"
"/sitecore/content/EasyJet/Holidays/Presentation/Partial Designs/Slim Header","Slim Header","en","/presentation/partial-designs/slim-header","True","Page Header_{AA8C7F95-04F8-470E-8DD9-208FFAB45DC4}_header|Login To Shortlist Popup_{46E4D0E0-4C9D-4ADD-977F-08C14850F8DE}_/header/login-popup-{AA8C7F95-04F8-470E-8DD9-208FFAB45DC4}-0|IE Compatibility Banner_{748315FE-72F4-4F23-8408-FDB5DC165611}_/header|Maintenance Shortlist Modal Dialog_{E6129B80-48DC-4A74-BFE5-DC1906A874E6}_/header"
"/sitecore/content/EasyJet/Holidays/Presentation/Partial Designs/Full Footer","Full Footer","en","/presentation/partial-designs/full-footer","True","Page Footer_{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}_/footer|Page Footer Row_{D00BC30A-10AD-48C6-9529-228037176696}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0|Page Footer Column_{637CFAA3-3AA8-4628-8B4C-A0D0BEB800B9}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0|Footer Tile_{FD038473-9C72-49A7-BBCD-2F05A91D16A1}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{637CFAA3-3AA8-4628-8B4C-A0D0BEB800B9}-0|Image_{09D7530F-FB92-4856-B922-9B05FBA710E0}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{637CFAA3-3AA8-4628-8B4C-A0D0BEB800B9}-0/image-{FD038473-9C72-49A7-BBCD-2F05A91D16A1}-0|Page Footer Column_{98D0DB0F-C4B8-4DE2-90C9-BBD869B9D9B0}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0|Footer Tile_{F68D637E-7979-4D91-98DF-3E2723CCD124}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{98D0DB0F-C4B8-4DE2-90C9-BBD869B9D9B0}-0|Image_{1DAF3A2C-B2BB-4517-B143-990DCAB9E0D4}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{98D0DB0F-C4B8-4DE2-90C9-BBD869B9D9B0}-0/image-{F68D637E-7979-4D91-98DF-3E2723CCD124}-0|Image_{F84210B7-3A30-4FF8-BFB0-E6A8AC867779}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{98D0DB0F-C4B8-4DE2-90C9-BBD869B9D9B0}-0/image-{F68D637E-7979-4D91-98DF-3E2723CCD124}-0|Page Footer Column_{3F61AEDE-64B6-4559-97A9-54F59946DDC9}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0|Footer Tile_{FC4BDA88-5318-44AE-A829-ECF9780CB3B6}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{3F61AEDE-64B6-4559-97A9-54F59946DDC9}-0|Image_{94F71C4E-31BC-4CA9-B1C6-202EA8AE008A}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{3F61AEDE-64B6-4559-97A9-54F59946DDC9}-0/image-{FC4BDA88-5318-44AE-A829-ECF9780CB3B6}-0|Page Footer_{1CB3648B-572B-4EAD-A67B-0FFDC5886393}_/footer|Page Footer Row_{E2276111-5783-4462-8321-61D1FBCC6567}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0|Page Footer Column_{9EAAC274-8909-4E93-AE87-2ABA2307C034}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{D171101E-AEE1-4083-8D3B-52FF8DE4177B}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{9eaac274-8909-4e93-ae87-2aba2307c034}-0|Page Footer Column_{84B33103-1954-402D-8706-2FD372148919}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{0482181F-89B7-47DC-A7DB-9233950BD37E}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{84b33103-1954-402d-8706-2fd372148919}-0|Page Footer Column_{9A42D287-7152-465B-8C16-CD0A57523611}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{23CEA6FA-7756-469E-BC90-000DA9044491}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{9a42d287-7152-465b-8c16-cd0a57523611}-0|Page Footer Column_{030D40D9-CEC4-4EF6-BD1E-9028F7D8E679}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{6DCD3D3A-BE17-4057-8FCE-6B23C9F00707}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{030d40d9-cec4-4ef6-bd1e-9028f7d8e679}-0|Page Footer Copyright_{D96BF732-0300-46C9-9F4B-DB8691C4AA9A}_/footer|Social Icons_{60AC62AD-4BDE-4470-8F99-3C87CACC55A6}_/footer/footer-column-inner-{D96BF732-0300-46C9-9F4B-DB8691C4AA9A}-0|Footer All Holidays And Flights_{54259CF3-1F4E-4318-A55E-752D9289C31C}_/footer"
"/sitecore/content/EasyJet/Holidays/Presentation/Partial Designs/Full Footer - Phone Number","Full Footer - Phone Number","en","/presentation/partial-designs/full-footer---phone-number","True","Page Footer_{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}_/footer|Page Footer Row_{A71D01E3-4429-430B-B256-D06F55B9656C}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0|Page Footer Column_{A3074AC2-2753-4B5C-B2D6-7B00B9BCE486}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{a71d01e3-4429-430b-b256-d06f55b9656c}-0|Need Help Block_{1650ECBE-322D-4ACE-ABCB-084DCA7AC5D6}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{a71d01e3-4429-430b-b256-d06f55b9656c}-0/footer-column-inner-{a3074ac2-2753-4b5c-b2d6-7b00b9bce486}-0|Page Footer Row_{D00BC30A-10AD-48C6-9529-228037176696}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0|Page Footer Column_{637CFAA3-3AA8-4628-8B4C-A0D0BEB800B9}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0|Footer Tile_{FD038473-9C72-49A7-BBCD-2F05A91D16A1}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{637CFAA3-3AA8-4628-8B4C-A0D0BEB800B9}-0|Image_{09D7530F-FB92-4856-B922-9B05FBA710E0}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{637CFAA3-3AA8-4628-8B4C-A0D0BEB800B9}-0/image-{FD038473-9C72-49A7-BBCD-2F05A91D16A1}-0|Page Footer Column_{98D0DB0F-C4B8-4DE2-90C9-BBD869B9D9B0}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0|Footer Tile_{F68D637E-7979-4D91-98DF-3E2723CCD124}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{98D0DB0F-C4B8-4DE2-90C9-BBD869B9D9B0}-0|Image_{1DAF3A2C-B2BB-4517-B143-990DCAB9E0D4}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{98D0DB0F-C4B8-4DE2-90C9-BBD869B9D9B0}-0/image-{F68D637E-7979-4D91-98DF-3E2723CCD124}-0|Image_{F84210B7-3A30-4FF8-BFB0-E6A8AC867779}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{98D0DB0F-C4B8-4DE2-90C9-BBD869B9D9B0}-0/image-{F68D637E-7979-4D91-98DF-3E2723CCD124}-0|Page Footer Column_{3F61AEDE-64B6-4559-97A9-54F59946DDC9}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0|Footer Tile_{FC4BDA88-5318-44AE-A829-ECF9780CB3B6}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{3F61AEDE-64B6-4559-97A9-54F59946DDC9}-0|Image_{94F71C4E-31BC-4CA9-B1C6-202EA8AE008A}_/footer/footer-row-{4F65BA74-1AA0-431E-99DC-5DA19638D9F7}-0/footer-column-{D00BC30A-10AD-48C6-9529-228037176696}-0/footer-column-inner-{3F61AEDE-64B6-4559-97A9-54F59946DDC9}-0/image-{FC4BDA88-5318-44AE-A829-ECF9780CB3B6}-0|Page Footer_{1CB3648B-572B-4EAD-A67B-0FFDC5886393}_/footer|Page Footer Row_{E2276111-5783-4462-8321-61D1FBCC6567}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0|Page Footer Column_{9EAAC274-8909-4E93-AE87-2ABA2307C034}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{D171101E-AEE1-4083-8D3B-52FF8DE4177B}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{9eaac274-8909-4e93-ae87-2aba2307c034}-0|Page Footer Column_{84B33103-1954-402D-8706-2FD372148919}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{0482181F-89B7-47DC-A7DB-9233950BD37E}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{84b33103-1954-402d-8706-2fd372148919}-0|Page Footer Column_{9A42D287-7152-465B-8C16-CD0A57523611}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{23CEA6FA-7756-469E-BC90-000DA9044491}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{9a42d287-7152-465b-8c16-cd0a57523611}-0|Page Footer Column_{030D40D9-CEC4-4EF6-BD1E-9028F7D8E679}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{6DCD3D3A-BE17-4057-8FCE-6B23C9F00707}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{030d40d9-cec4-4ef6-bd1e-9028f7d8e679}-0|Page Footer Copyright_{D96BF732-0300-46C9-9F4B-DB8691C4AA9A}_/footer|Social Icons_{60AC62AD-4BDE-4470-8F99-3C87CACC55A6}_/footer/footer-column-inner-{D96BF732-0300-46C9-9F4B-DB8691C4AA9A}-0|Footer All Holidays And Flights_{0708C5A0-6C59-40B5-BBEF-28BDB8521C6C}_/footer"
"/sitecore/content/EasyJet/Holidays/Presentation/Partial Designs/Media Center Footer","Media Center Footer","en","/presentation/partial-designs/media-center-footer","True","Press Contacts_{D0983505-8235-443F-8C26-57FD2AEB4A46}_/footer|Page Footer_{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}_/footer|Page Footer Row_{659C7782-5E38-444C-B1B9-73BAC731A13C}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0|Page Footer Column_{A7ACD85B-265B-4B7B-A994-CC48ADFCCC11}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0/footer-column-{659C7782-5E38-444C-B1B9-73BAC731A13C}-0|Footer Tile_{B46E486F-AD4C-4E93-8244-7EC904359E18}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0/footer-column-{659C7782-5E38-444C-B1B9-73BAC731A13C}-0/footer-column-inner-{A7ACD85B-265B-4B7B-A994-CC48ADFCCC11}-0|Image_{EB49B7AD-A9A4-450C-8C3B-72417E5800F1}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0/footer-column-{659C7782-5E38-444C-B1B9-73BAC731A13C}-0/footer-column-inner-{A7ACD85B-265B-4B7B-A994-CC48ADFCCC11}-0/image-{B46E486F-AD4C-4E93-8244-7EC904359E18}-0|Page Footer Column_{C1DF4931-7888-4F64-A76D-601FB00B550F}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0/footer-column-{659C7782-5E38-444C-B1B9-73BAC731A13C}-0|Footer Tile_{6E4BB14A-77AE-4640-9EA6-2A53DA37A7FA}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0/footer-column-{659C7782-5E38-444C-B1B9-73BAC731A13C}-0/footer-column-inner-{C1DF4931-7888-4F64-A76D-601FB00B550F}-0|Image_{2C91BC80-F779-44D3-8EE5-993A242F7867}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0/footer-column-{659C7782-5E38-444C-B1B9-73BAC731A13C}-0/footer-column-inner-{C1DF4931-7888-4F64-A76D-601FB00B550F}-0/image-{6E4BB14A-77AE-4640-9EA6-2A53DA37A7FA}-0|Image_{FD6B58B4-BF06-417F-B74C-CF760BCCB75D}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0/footer-column-{659C7782-5E38-444C-B1B9-73BAC731A13C}-0/footer-column-inner-{C1DF4931-7888-4F64-A76D-601FB00B550F}-0/image-{6E4BB14A-77AE-4640-9EA6-2A53DA37A7FA}-0|Page Footer Column_{F061F178-03A8-4B23-A963-26234DDECE0D}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0/footer-column-{659C7782-5E38-444C-B1B9-73BAC731A13C}-0|Footer Tile_{BEE44BF1-A3DD-44B2-8B69-7E1D0BF00FB2}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0/footer-column-{659C7782-5E38-444C-B1B9-73BAC731A13C}-0/footer-column-inner-{F061F178-03A8-4B23-A963-26234DDECE0D}-0|Image_{E9D3EBA3-CF87-4196-AEB0-51B09E3A5BD6}_/footer/footer-row-{9E88243E-7AE6-4D7E-B7AA-5F33B6E5D882}-0/footer-column-{659C7782-5E38-444C-B1B9-73BAC731A13C}-0/footer-column-inner-{F061F178-03A8-4B23-A963-26234DDECE0D}-0/image-{BEE44BF1-A3DD-44B2-8B69-7E1D0BF00FB2}-0|Page Footer_{1CB3648B-572B-4EAD-A67B-0FFDC5886393}_/footer|Page Footer Row_{E2276111-5783-4462-8321-61D1FBCC6567}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0|Page Footer Column_{9EAAC274-8909-4E93-AE87-2ABA2307C034}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{D171101E-AEE1-4083-8D3B-52FF8DE4177B}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{9eaac274-8909-4e93-ae87-2aba2307c034}-0|Page Footer Column_{84B33103-1954-402D-8706-2FD372148919}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{0482181F-89B7-47DC-A7DB-9233950BD37E}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{84b33103-1954-402d-8706-2fd372148919}-0|Page Footer Column_{9A42D287-7152-465B-8C16-CD0A57523611}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{23CEA6FA-7756-469E-BC90-000DA9044491}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{9a42d287-7152-465b-8c16-cd0a57523611}-0|Page Footer Column_{030D40D9-CEC4-4EF6-BD1E-9028F7D8E679}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0|Footer Dropdown_{6DCD3D3A-BE17-4057-8FCE-6B23C9F00707}_/footer/footer-row-{1cb3648b-572b-4ead-a67b-0ffdc5886393}-0/footer-column-{e2276111-5783-4462-8321-61d1fbcc6567}-0/footer-column-inner-{030d40d9-cec4-4ef6-bd1e-9028f7d8e679}-0|Page Footer Copyright_{D96BF732-0300-46C9-9F4B-DB8691C4AA9A}_/footer|Social Icons_{60AC62AD-4BDE-4470-8F99-3C87CACC55A6}_/footer/footer-column-inner-{D96BF732-0300-46C9-9F4B-DB8691C4AA9A}-0|Footer All Holidays And Flights_{890C2529-8007-42E0-8964-84885F3DC2CE}_/footer"
"/sitecore/content/EasyJet/Holidays/Presentation/Partial Designs/Slim Footer","Slim Footer","en","/presentation/partial-designs/slim-footer","True","Page Footer Slim_{01CAF00B-3ECA-46E1-9A9A-840C861F94EC}_/footer|Page Footer Row_{041064C6-9C58-480A-A860-E0F5DFC1F6CE}_/footer/footer-row-{01caf00b-3eca-46e1-9a9a-840c861f94ec}-0|Page Footer Column_{AE51E10A-81CD-4156-8C91-9B922110C461}_/footer/footer-row-{01caf00b-3eca-46e1-9a9a-840c861f94ec}-0/footer-column-{041064c6-9c58-480a-a860-e0f5dfc1f6ce}-0|Footer Navigation_{1DBB8347-1694-44F4-8A71-CDB6BF214E57}_/footer/footer-row-{01caf00b-3eca-46e1-9a9a-840c861f94ec}-0/footer-column-{041064c6-9c58-480a-a860-e0f5dfc1f6ce}-0/footer-column-inner-{ae51e10a-81cd-4156-8c91-9b922110c461}-0|Page Footer Copyright_{8066C0E3-AE40-4709-98F3-A17EEC0B808D}_footer|Imagery_{BD563E30-3202-4877-BBEA-EFDDC232555D}_/footer/footer-column-inner-{8066C0E3-AE40-4709-98F3-A17EEC0B808D}-0|Footer All Holidays And Flights_{13B678D9-D61E-45C5-A2C9-836D9172A702}_/footer"
"/sitecore/content/EasyJet/Holidays/Presentation/Partial Designs/Full Header","Full Header","fr-CH","/presentation/partial-designs/full-header","True","Page Header_{48729675-DADF-419C-B929-CBE5DA3868AC}_header|Login To Shortlist Popup_{D79322F0-11A2-44A5-AC69-FE5A366664AF}_/header/login-popup-{48729675-DADF-419C-B929-CBE5DA3868AC}-0|IE Compatibility Banner_{4A37A41A-0EB6-4662-8AA2-F34C9237E0D0}_/header|Maintenance Shortlist Modal Dialog_{DD3B6823-5A39-4A6B-84AD-402F463B4942}_/header"
"/sitecore/content/EasyJet/Holidays/Presentation/Partial Designs/Full Header With Market Selector","Full Header With Market Selector","fr-CH","/presentation/partial-designs/full-header-with-market-selector","True","Page Header_{48729675-DADF-419C-B929-CBE5DA3868AC}_header|Login To Shortlist Popup_{D79322F0-11A2-44A5-AC69-FE5A366664AF}_/header/login-popup-{48729675-DADF-419C-B929-CBE5DA3868AC}-0|IE Compatibility Banner_{4A37A41A-0EB6-4662-8AA2-F34C9237E0D0}_/header|Maintenance Shortlist Modal Dialog_{DD3B6823-5A39-4A6B-84AD-402F463B4942}_/header"
"/sitecore/content/EasyJet/Holidays/Presentation/Partial Designs/Slim Header","Slim Header","fr-CH","/presentation/partial-designs/slim-header","True","Page Header_{AA8C7F95-04F8-470E-8DD9-208FFAB45DC4}_header|Login To Shortlist Popup_{46E4D0E0-4C9D-4ADD-977F-08C14850F8DE}_/header/login-popup-{AA8C7F95-04F8-470E-8DD9-208FFAB45DC4}-0|IE Compatibility Banner_{748315FE-72F4-4F23-8408-FDB5DC165611}_/header|Maintenance Shortlist Modal Dialog_{E6129B80-48DC-4A74-BFE5-DC1906A874E6}_/header"
