RENDERING,TAG,TAG1,FUNCTIONAL_TAGS,,
ATOLProtection,Mixed,,Mixed / Static,,
Accordion,Mixed,,Mixed / Static,,
AlertInformation,Mixed,,Mixed / Static,,
AlertMessages,Mixed,,Mixed / Static,,
AlternativeBoardsPopup,Booking,PostBooking,Pre-Booking / Post-Booking,,
AlternativeFlights,Booking,PostBooking,Post-Booking,,
AmendBookingHeroBanner,PostBooking,,Post-Booking,,
AmendDatesSummary,PostBooking,,Post-Booking / Amend Dates Summary,,
AmendDatesSummarySeats,PostBooking,,Post-Booking / Amend Dates Summary,,
AmendDatesSummarySeatMap,PostBooking,,Post-Booking / Amend Dates Summary,,
AmendFlights,PostBooking,,Post-Booking / Amend Flights,,
AmendPassengers,PostBooking,,Post-Booking / Amend Passengers,,
AmendPayment,PostBooking,Payment,Post-Booking / Amend Payment,,
AmendPaymentAccordion,PostBooking,Payment,Post-Booking / Amend Payment,,
AmendSeatsDetails,PostBooking,Payment,Post-Booking / Amend Payment,,
AmendPaymentHeader,PostBooking,Payment,Post-Booking / Amend Payment,,
AmendPaymentSummary,PostBooking,Payment,Post-Booking / Amend Payment / TradePortal,,
AmendPaymentSummaryDetailsWrapper,PostBooking,Payment,Post-Booking / Amend Payment / TradePortal,,
AmendRoomAndBoard,PostBooking,,Post-Booking / Amend Room And Board,,
AmendTransfers,PostBooking,,Post-Booking / Amend Transfers,,
AnimationTiles,Mixed,,Mixed / Static,,
AttentionMessage,Mixed,,Mixed / Static,,
AttentionPopup,Mixed,,Mixed / Static,,
BagsComponent,Booking,,Pre-Booking,,
BannerWithBreadcrumbs,Mixed,,Mixed / Static,,
Basket,Cart&Payment&Checkout,,Cart / Payment / Checkout,,
BoardTypes,Booking,,Pre-Booking / Post-Booking,,
BoardTypesBrowse,Booking,,Pre-Booking,,
BookingInfo,Booking,,Pre-Booking,,
BookingContactUs,Booking,,Pre-Booking,,
BookingContextProvider,Booking,,Post Booking,,
BookingDownloadBanner,Booking,,Post Booking,,
BookingHeroBanner,Booking,,Pre-Booking,,
BookingPrivacy,Booking,,Pre-Booking / Post-Booking,,
BookingTransitionScreen,Booking,,Pre-Booking,,
Breadcrumbs,Mixed,,Mixed / Static,,
BreadcrumbsStatic,Mixed,,Mixed / Static,,
CabinBags,Booking,PostBooking,Pre-Booking,,
CabinBagsValidationPopup,Booking,PostBooking,Pre-Booking,,
CallToActionBlock,Mixed,,Mixed / Static,,
CardsWithLinks,Mixed,,Mixed / Static,,
Chatbot,CustomerSupport,,CustomerSupport,,
CollapsibleLinksModule,Mixed,,Mixed / Static,,
ComparePriceModule,Payment,,Pre-Booking / Payment,,
ConfidenceModuleTransformer,Cookies&Privacy,,Mixed / Static,,
ContactUsBanner,CustomerSatisfaction,,Mixed / Static,,
ContentModal,Mixed,,Mixed / Static,,
CreateAccount,Account,,Account,,
CreateAccountPopup,Account,,Account,,
CreditConfirm,Payment,,Payment / Pre-Booking / Post-Booking,,
CrisisBanner,Mixed,,Mixed / Static,,
CustomersFeedback,CustomerSatisfaction,,CustomerSatisfaction,,
DatePickerTab,Mixed,,Mixed / Static,,
DealsDestinations,Destination,,Destination,,
DealsPromoTiles,Destination,,Destination,,
DepartureAirport,Destination,,Destination,,
DestinationGuide,Destination,,Destination,,
DestinationsList,Destination,,Destination,,
DestinationInfoBlock,Destination,,Destination,,
DestinationLike,Destination,,Destination,,
DestinationsCarousel,Destination,,Destination,,
DynamicPromoTextBlock,Promocodes,,Destination,,
EcoCertified,Mixed,,Mixed / Static,,
EntryQuizTab,Mixed,,Mixed / Static,,
Excursions,Destination,,Destination / Pre-Booking / Post-Booking,,
ExperimentWrapper,Mixed,,Mixed / Static,,
ExportButtons,Mixed,,Mixed / Static,,
ExportHolidayDetails,Destination,,Destination / Pre-Booking,,
ExternalExtrasBanner,External,,Pre-Booking / Post-Booking,,
FeaturedHotels,Hotel,,Hotel,,
FeedbackPopup,CustomerSatisfaction,,CustomerSatisfaction,,
FeefoWidget,External,,External,,
FinalQuizTab,Mixed,,Destination,,
FullWidthBanner,Mixed,,Mixed / Static,,
GenericInfoBlockBanner,Mixed,,Mixed / Static,,
GenericRecommendedHotels,Promo&Marketing,,Promo&Marketing,,
GridBanners,Mixed,,Mixed / Static,,
GuestDetails,Booking,,Pre-Booking,,
HealthEntryRequirements,Booking,,Pre-Booking / Post-Booking,,
FAQ,CustomerSatisfaction,,CustomerSatisfaction,,
HelpLinks,CustomerSatisfaction,,Pre-Booking,,
HeroCarousel,Mixed,,Mixed / Static,,
HeroSectionWrapper,Mixed,,Mixed / Static,,
HoldLuggage,Destination,,Destination / Pre-Booking,,
HoldLuggagePopup,Destination,,Destination / Pre-Booking,,
HolidayCredit,Destination,,Destination,,
LinksCard,Mixed,,Mixed / Static,,
PromotionalCarouselBlocks,Promo&Marketing,,Promo&Marketing,,
interfaces,,,,,
HolidayTypes,Destination,,Destination / Pre-Booking,,
HolidayWithConfidence,Destination,,Destination / Pre-Booking,,
HolidaysUnder,Destination,,Destination / Pre-Booking,,
VirtualHotelFacilities,Hotel,,Hotel,,
HotelImageCarouselBooking,Booking,,Pre-Booking / Hotel,,
HotelImageCarouselBrowse,Hotel,,Hotel,,
HotelImageSideBarBooking,Hotel,,Hotel,,
HotelImageSideBarBrowse,Hotel,,Hotel,,
HotelInfoBooking,Hotel,,Hotel,,
HotelInfoBrowse,Hotel,,Hotel,,
ResortInfoBlock,Hotel,,Hotel,,
ShareHolidayButton,Destination,,Destination / Pre-Booking,,
HotelPoster,Hotel,,Hotel,,
HotelReviewsBooking,Hotel,,Hotel,,
HotelReviewsBrowse,Hotel,,Hotel,,
HotelSummary,Hotel,,Hotel,,
HotelsWithReviews,Hotel,,Hotel,,
HtmlBlock,Mixed,,Mixed / Static,,
IECompatibilityBanner,Mixed,,Mixed / Static,,
InfoWithActionBlock,Mixed,,Mixed / Static,,
InformationBlock,Mixed,,Mixed / Static,,
InformationTiles,Mixed,,Mixed / Static,,
IntroBlock,Mixed,,Mixed / Static,,
ItinerarySummary,Destination,,Post-Booking,,
LateCheckoutComponent,Cart&Payment&Checkout,,Payment,,
LateCheckoutPostBookBanner,Cart&Payment&Checkout,,Payment,,
LineSeparator,Mixed,,Mixed / Static,,
LoginMaintenanceMode,Account,,Account,,
LogoCarousel,Mixed,,Mixed / Static,,
Luggage,Destination,,Pre-Booking,,
MaintenanceShortlistModalDialog,Mixed,,Mixed / Static,,
ManageBooking,Booking,,Mixed / Static,,
ManageCookiesPreferences,Cookies&Privacy,,Mixed / Static,,
DestinationMap,Destination,,Destination,,
HotelLocationBooking,Booking,,Pre-Booking,,
HotelLocationBrowse,Destination,,Destination,,
Itineraries,Destination,,Destination,,
MarketingResearchUnsubscribe,Promo&Marketing,,Promo&Marketing,,
MasonryCarousel,Mixed,,Mixed / Static,,
MasonryWrapper,Mixed,,Mixed / Static,,
MasonryWrapperItem,Mixed,,Mixed / Static,,
MediaCarousel,Mixed,,Mixed / Static,,
ArticleBlock,Mixed,,Mixed / Static,,
LatestNews,Mixed,,Mixed / Static,,
MediaCenterFilters,Mixed,,Mixed / Static,,
PressContacts,Cookies&Privacy&Company,,Mixed / Static,,
TopicTiles,Mixed,,Mixed / Static,,
TopicTileItem,Mixed,,Mixed / Static,"Doesn't have rendering, it is part of TopicTiles",
MediaVideo,Mixed,,Mixed / Static,,
MerchandisingAlertBanner,Promo&Marketing,,Promo&Marketing,,
MerchandisingBanner,Promo&Marketing,,Promo&Marketing,,
ModalDialog,Mixed,,Mixed / Static,,
NeedHelpBlock,CustomerSupport,,Post-Booking,,
NeedToKnow,CustomerSupport,,Destination,,
NotAvailableBlock,Error,,Mixed / Static,,
NotFoundBlock,Error,,Mixed / Static,,
OurPolicies,Cookies&Privacy,,Promo&Marketing,,
OurWorkCarousel,Cookies&Privacy&Company,,Promo&Marketing,,
PageHeroBanner,,,Mixed / Static,,
FloatingSearchpodBanner,Search,,,"Doesn't have rendering, it is part of PageHeroBanner",
StaticSearchpodBanner,Search,,,"Doesn't have rendering, it is part of PageHeroBanner",
PartnershipComponent,Promo&Marketing,,Promo&Marketing,,
PartnershipsAndCertificates,Promo&Marketing,,Promo&Marketing,,
PayBalance,Payment,,Post-Booking,,
Payment,Payment,,Pre-Booking ,,
InfoBlock,Mixed,,Mixed / Static,"Doesn't have rendering, it is part of Payment",
TermsAndConditions,Cookies&Privacy,,Mixed / Static,"Doesn't have rendering, it is part of AmendPayment",
PlainText,Mixed,,Mixed / Static,,
