Page,Rendering,API,Count
/,FeaturedHotels.tsx,availability/from,40
/,SearchPod.tsx,tracking/user-search,10
/,SearchPodWithHeader.tsx,tracking/user-search,10
/,PromoBlocks.tsx,availability/from,16
/copy-of-hotel-details,BookingTransitionScreen.tsx,search/alternative-flights,2
/copy-of-hotel-details,AlternativeFlights.tsx,search/extras,2
/copy-of-hotel-details,ResortInfoBlock.tsx,hotel/resort-info,3
/copy-of-hotel-details,ShareHolidayButton.tsx,hotukdeals.com/social/share,10
/copy-of-hotel-details,SearchPod.tsx,tracking/user-search,2
/copy-of-hotel-details,SearchPodWithHeader.tsx,tracking/user-search,2
/hotel-details,SearchPod.tsx,tracking/user-search,2
/hotel-details,SearchPodWithHeader.tsx,tracking/user-search,2
/hotel-details,AlternativeFlights.tsx,search/extras,2
/hotel-details,ResortInfoBlock.tsx,hotel/resort-info,3
/hotel-details,ShareHolidayButton.tsx,hotukdeals.com/social/share,10
/hotel-details,BookingTransitionScreen.tsx,search/alternative-flights,2
/deals,DealsPromoTiles.tsx,requested-price,6
/deals,SearchPod.tsx,tracking/user-search,4
/deals,SearchPodWithHeader.tsx,tracking/user-search,4
/deals,PromopageSearchPod.tsx,availability/dates,4
/deals,SearchResults.tsx,search/recommended,4
/deals,GenericRecommendedHotels.tsx,search/recommended,6
/deals,DealsDestinations.tsx,requested-price,21
/deals,FeaturedHotels.tsx,availability/from,8
/deals,QuestionAndAnswer.tsx,help-centre/faq/save,2
/deals,PromoBlocks.tsx,availability/from,2
/deals,CardsWithLinks.tsx,availability/from,2
/dynamic-promo-pages/beach-holidays,SearchResults.tsx,search/recommended,2
/dynamic-promo-pages/beach-holidays,GenericRecommendedHotels.tsx,search/recommended,3
/dynamic-promo-pages/beach-holidays,SearchPod.tsx,tracking/user-search,2
/dynamic-promo-pages/beach-holidays,SearchPodWithHeader.tsx,tracking/user-search,2
/extras,PromoBlocks.tsx,availability/from,6
/extras,SearchPod.tsx,tracking/user-search,2
/extras,SearchPodWithHeader.tsx,tracking/user-search,2
/Holiday-Types,SearchPod.tsx,tracking/user-search,2
/Holiday-Types,SearchPodWithHeader.tsx,tracking/user-search,2
/all-inclusive-holidays,SearchPod.tsx,tracking/user-search,2
