Application Type,Currency,Country Name,Country Code,Region Name,Region Code,Resort Name,Resort Code,Geography,Travel From Date,Travel To Date,Percentage Rate 3 Star,Percentage Rate 4 Star,Percentage Rate 5 Star,Room Rate 3 Star,Room Rate 4 Star,Room Rate 5 Star,Pax Rate Adult 3 Star,Pax Rate Adult 4 Star,Pax Rate Adult 5 Star,Pax Rate Child 3 Star,Pax Rate Child 4 Star,Pax Rate Child 5 Star,Per Night / Per Stay,Maximum Nights Cap,Minimum Value Cap,Maximum Value Cap
PaxBased,EUR,Spain,ES,Barcelona,ESFU,Palma de Mallorca,ESFU13,ESFU13,1/1/2026,1/4/2026,0,0,0,0,0,0,0,,,5,,,PS,,2.5,10
PaxBased,EUR,Spain,ES,Madrid,ESMD,Palma de Mallorca,ESMD33,ESMD33,1/1/2026,1/4/2026,0,0,0,0,0,0,0,,,5,,,PN,7,2.5,10
PercentageBased,EUR,Italy,IT,Barcelona,ITFU,,,ITFU,1/1/2026,1/4/2026,0.03,0.04,4,0,0,0,0,,,0,,,,8,0,0
RoomBased,EUR,Greece,GR,,,,,,1/1/2026,1/4/2026,0,0,0,0.02,0.03,0.04,5,,,0,,,PS,10,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
PaxBased,EUR,France,FR,Paris,PA,,,,,,,,,,,,1.88,,,,,,PN,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PaxBased,EUR,Germany,DE,Koblenz,KO,,,DEKO,1/1/2026,6/6/2026,,,,,,,1.19,,,,,,PS,,,
PercentageBased,EUR,Germany,DE,Berlin,BE,Charlottenburg,CH,DEBECH,1/1/2026,1/10/2026,,0.05,,,,,,,,,,,PS,,,
RoomBased,EUR,France,FR,Paris,PA,,,FRPA,14/01/2026,14/2/2026,,,,,,,11.49,,,,,,PS,,,
PaxBased,EUR,Italy,IT,Venice,VE,Murano,MU,ITVEMU,1/1/2026,6/6/2026,,,,,,,,,,0.8,,4.5,PN,,,
RoomBased,EUR,Greece,GR,,,,,GR,1/1/2026,30/6/2026,,,,1.5,3,4,,,,,,,PN,10,0,0
PercentageBased,EUR,Austria,AU,Vienna,VI,,,AUVI,1/1/2026,30/7/2026,3.2,3.2,3.2,,,,,,,,,,PN,,,
PaxBased,EUR,Italy,IT,Rome,RO,,,ITRO,1/1/2026,30/6/2026,,,,,,,,,7,,,7,PN,10,0,0
PercentageBased,EUR,Austria,AU,Vienna,VI,,,AUVI,31/7/2026,1/1/2027,4,4,4,,,,,,,,,,PN,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PaxBased,EUR,Germany,DE,Gera,GE,,,DEGE,1/1/2026,30/6/2026,,,,,,,1.5,1.5,2,1.5,1.5,2,PN,,40,999
PaxBased,EUR,Germany,DE,Gera,GE,,,DEGE,1/1/2026,30/6/2026,,,,,,,1.5,,,1.5,,,PN,,40,79.99
PaxBased,EUR,Germany,DE,Gera,GE,,,DEGE,1/1/2026,30/6/2026,,,,,,,,1.5,,,1.5,,PN,,40,79.99
PaxBased,EUR,Germany,DE,Gera,GE,,,DEGE,1/1/2026,30/6/2026,,,,,,,,,2,,,2,PN,,80,999
