area_name,dil_code
"United States, Canada, Grenada, Turks & Caicos Islands",1
"Russia, Kazakhstan",7
Egypt,20
South Africa,27
Greece,30
Netherlands,31
Belgium,32
France,33
Spain,34
Hungary,36
"Italy, Vatican City State (Holy See)",39
Romania,40
Switzerland,41
Austria,43
"United Kingdom, Isle of Man",44
Denmark,45
Sweden,46
"Norway, Svalbard & Jan Mayen Islands",47
Poland,48
Germany,49
Peru,51
Mexico,52
Cuba,53
Argentina,54
"Brazil, Bouvet Island",55
Chile,56
Colombia,57
Venezuela,58
Malaysia,60
"Australia, Cocos (Keeling) Islands",61
Indonesia,62
Philippines,63
New Zealand,64
Singapore,65
Thailand,66
Japan,81
"Korea, Republic Of",82
Viet Nam,84
China,86
Turkey,90
India,91
Pakistan,92
Afghanistan,93
Sri Lanka,94
Myanmar,95
Islamic Republic Of Iran,98
"Morrocco, Western Sahara",212
Algeria,213
Tunisia,216
Libyan Arab Jamahiriya,218
Gambia,220
Senegal,221
Mauritania,222
Mali,223
Guinea,224
C(te Dãivoire (Ivory Coast),225
Burkina Faso,226
Niger,227
Togo,228
Benin,229
Mauritius,230
Liberia,231
Sierra Leone,232
Ghana,233
Nigeria,234
Chad,235
Central African Republic,236
Cameroon,237
Cape Verde,238
Sao Tome & Principe,239
Equatorial Guinea,240
Gabon,241
"Congo, Democratic Republic of the Congo",242
Angola,244
Guinea-Bissau,245
British Indian Ocean Territory,246
Seychelles,248
Sudan,249
Rwanda,250
Ethiopia,251
Somalia,252
Djibouti,253
Kenya,254
"Tanzania, United Republic Of",255
Uganda,256
Burundi,257
Mozambique,258
Zambia ,260
Madagascar,261
Reunion,262
Zimbabwe,263
Namibia,264
Malawi,265
Lesotho,266
Botswana,267
Swaziland,268
"Comoros, Mayotte",269
St. Helena,290
Eritrea,291
Aruba,297
Faroe Islands,298
Greenland,299
Gibraltar,350
Portugal,351
Luxembourg,352
Ireland,353
Iceland,354
Albania,355
Malta,356
Cyprus,357
"Finland, Aland Islands",358
Bulgaria,359
Lithuania,370
Latvia,371
Estonia,372
"Moldova, Republic Of",373
Armenia,374
Belarus ,375
Andorra,376
Monaco,377
San Marino,378
Ukraine ,380
Serbia,381
Montenegro,382
Croatia,385
Slovenia,386
Bosnia And Herzegovina,387
Macedonia ,389
Czech Rep,420
Slovakia,421
Liechtenstein,423
"South Georgia And The South Sandwic, Falkland Islands (Malvinas)",500
Belize,501
Guatemala,502
El Salvador,503
Honduras,504
Nicaragua,505
Costa Rica,506
Panama,507
St. Pierre & Miquelon,508
Haiti,509
Curacao,531
Saint Maarten,534
Bonaire,535
"France, Guadeloupe",590
Bolivia,591
Guyana,592
Ecuador,593
French Guiana,594
Paraguay,595
Martinique,596
Suriname,597
Uruguay,598
Netherlands Antilles,599
Christmas Island,618
"Timor-Leste, Northern Mariana Islands",670
Guam,671
"Norfolk Island, Antarctica",672
Brunei Darussalam,673
Nauru,674
Papua New Guinea,675
Tonga,676
Solomon Islands,677
Vanuatu,678
Fiji,679
Palau,680
Wallis & Futuna Islands,681
Cook Islands,682
Niue,683
American Samoa,684
Samoa,685
Kiribati,686
New Caledonia,687
Tuvalu,688
"French Polynesia, French Southern Territories",689
Tokelau,690
Micronesia,691
Marshall Islands,692
United States Minor Outlying Island,699
"Korea, Democratic Peopleãs Republic",850
Hong Kong,852
Macau,853
Cambodia,855
Lao Peopleãs Democratic Republic,856
Pitcairn,872
Bangladesh,880
"Taiwan, Province Of China",886
Lebanon,961
Jordan,962
Syrian Arab Republic,963
Iraq,964
Kuwait,965
Saudi Arabia,966
Yemen,967
Oman,968
"Palestinian Territory, Occupied",970
United Arab Emirates,971
Israel,972
Bahrain,973
Qatar,974
Bhutan,975
Mongolia,976
Nepal,977
Maldives,980
Tajikistan,992
Turkmenistan,993
Azerbaijan,994
Georgia,995
Kyrgyzstan,996
Uzbekistan,998
Bahamas,1242
Barbados,1246
Anguilla,1264
Antigua & Barbuda,1268
United States Virgin Islands,1340
Cayman Islands,1345
Bermuda,1441
Montserrat,1664
Saint Lucia,1758
Puerto Rico,1787
" Dominica, Dominican Republic, St. Kitts And Nevis, St. Vincent & The Grenadines, British Virgin Islands",1809
Trinidad & Tobago,1868
Jamaica,1876
