PAGE,NAME,TEMPLATE,SLOT,RENDERING,TAGS,UID
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,HeroCarousel,HeroCarousel.tsx,Mixed,{ABDF57CA-5EFF-42A0-8404-DEB316B2AC12}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,PromoBlocks,PromoBlocks.tsx,Promocodes,{0ABB20FF-F9BC-43B4-AAEE-ACA117786CB5}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,TextBlock,TextBlock.tsx,Mixed,{8C91FD9E-48CC-42D9-8A70-4BD9D496987C}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,ExperimentWrapper,ExperimentWrapper.tsx,Mixed,{19209116-E14C-447F-B8E3-FE2CBAD06C32}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,PartnershipComponent,PartnershipComponent.tsx,Promo&Marketing,{A58C0893-32EE-41B3-B21C-396FD0E2E6A5}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,HeroSectionWrapper,HeroSectionWrapper.tsx,Mixed,{735DB6F5-988A-4FA5-80F8-1A58FA04E23F}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,SearchPod,SearchPod.tsx,Search,{32D0E39B-3E74-48CE-B5C0-62196A88A31F}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,PromoBlocks,PromoBlocks.tsx,Promocodes,{FBF5F62E-853C-4594-BE44-EEB2B549A528}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,ExperimentWrapper,ExperimentWrapper.tsx,Mixed,{D3358C5A-5035-4EB0-9CC6-DA71CF12609B}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,ExperimentWrapper,ExperimentWrapper.tsx,Mixed,{64C06F2B-E962-46BF-A911-F9AAC65AD562}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,ExperimentWrapper,ExperimentWrapper.tsx,Mixed,{BEDB24BF-B9B9-4B24-B080-2F2AC96B0B6C}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,SearchPod,SearchPod.tsx,Search,{9910D1DF-1952-4648-9CA2-23A91D9C4E43}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,HeroSectionWrapper,HeroSectionWrapper.tsx,Mixed,{37572E50-132C-49F5-B11E-4F1C84191296}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,FullWidthBanner,FullWidthBanner.tsx,Mixed,{20599720-3405-4BDD-A01F-F5DF6BE161BB}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,ExperimentWrapper,ExperimentWrapper.tsx,Mixed,{5E1F724B-191B-4E81-99F8-D1679C50CB1E}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,ExperimentWrapper,ExperimentWrapper.tsx,Mixed,{80D91420-92DF-41FA-B4F8-9743FD86AD63}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,PromoBlocks,PromoBlocks.tsx,Promocodes,{EFF42295-8EED-469F-A8F0-83C2BC433B0F}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,ExperimentWrapper,ExperimentWrapper.tsx,Mixed,{46C1658A-A613-4963-B2DE-AAC14BFDB520}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,ExperimentWrapper,ExperimentWrapper.tsx,Mixed,{2B3CD02C-01AA-48B8-8F6B-B6B1572BE2FD}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,HolidaysUnder,HolidaysUnder.tsx,Destination,{53D131CF-2EA9-4B12-A4A7-F8F954493C89}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,ConfidenceModuleTransformer,ConfidenceModuleTransformer.tsx,Cookies&Privacy,{60B60241-3C24-46DD-988A-5F742593CA59}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,PromoBlocks,PromoBlocks.tsx,Promocodes,{872CFEC6-3945-47F2-87BE-0055DF5B8903}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,FullWidthBanner,FullWidthBanner.tsx,Mixed,{55A64D27-D85B-4A48-A183-221B633D0784}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,PromoBlocks,PromoBlocks.tsx,Promocodes,{337D57C1-CBD1-49C3-8F2B-EC749017C512}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,PromoBlocks,PromoBlocks.tsx,Promocodes,{ADA73237-3E6B-44FE-8AEB-C8BD3109F5A8}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,MerchandisingAlertBanner,MerchandisingAlertBanner.tsx,Promo&Marketing,{E9A6B953-05BE-4F2B-A6A5-5B43AEE87EA1}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,SearchPod,SearchPod.tsx,Search,{51D5D24F-EAE0-4804-8EFA-E31A075EF115}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,TextBlock,TextBlock.tsx,Mixed,{D75E1016-780A-475F-9A9C-0D40E9F6CB46}
/,/sitecore/content/EasyJet/Holidays/Home-en,Home,ExperimentWrapper,ExperimentWrapper.tsx,Mixed,{F31336F0-D143-4431-AE00-AF99572DD9E3}
